dataPointID:ID(DataPoint),features,target,:LABEL
6463147679339733745,"{""Ag%"": 0.0, ""Au%"": 0.32, ""Co%"": 0.31, ""Cu%"": 0.0, ""Ni%"": 0.0, ""Pd%"": 0.23, ""Pt%"": 0.0, ""Sn%"": 0.14}",-2,DataPoint
6558939559789025422,"{""Ag%"": 0.0, ""Au%"": 0.3, ""Co%"": 0.37, ""Cu%"": 0.0, ""Ni%"": 0.0, ""Pd%"": 0.19, ""Pt%"": 0.0, ""Sn%"": 0.14}",-2,DataPoint
6567096021750531126,"{""Ag%"": 0.0, ""Au%"": 0.54, ""Co%"": 0.0, ""Cu%"": 0.0, ""Ni%"": 0.46, ""Pd%"": 0.0, ""Pt%"": 0.0, ""Sn%"": 0.0}",0,DataPoint
6572994254794162501,"{""Ag%"": 0.0, ""Au%"": 0.31, ""Co%"": 0.27, ""Cu%"": 0.0, ""Ni%"": 0.0, ""Pd%"": 0.27, ""Pt%"": 0.0, ""Sn%"": 0.15}",-1,DataPoint
7328197117602129882,"{""Ag%"": 0.0, ""Au%"": 0.37, ""Co%"": 0.18, ""Cu%"": 0.0, ""Ni%"": 0.36, ""Pd%"": 0.0, ""Pt%"": 0.0, ""Sn%"": 0.09}",-2,DataPoint
7520184996949037804,"{""Ag%"": 0.0, ""Au%"": 0.5, ""Co%"": 0.0, ""Cu%"": 0.0, ""Ni%"": 0.5, ""Pd%"": 0.0, ""Pt%"": 0.0, ""Sn%"": 0.0}",0,DataPoint
7567872231686663842,"{""Ag%"": 0.0, ""Au%"": 0.24, ""Co%"": 0.27, ""Cu%"": 0.0, ""Ni%"": 0.0, ""Pd%"": 0.24, ""Pt%"": 0.0, ""Sn%"": 0.25}",-2,DataPoint
7579599337073795740,"{""Ag%"": 0.16, ""Au%"": 0.18, ""Co%"": 0.23, ""Cu%"": 0.2, ""Ni%"": 0.0, ""Pd%"": 0.13, ""Pt%"": 0.0, ""Sn%"": 0.1}",-4,DataPoint
8074813073043485299,"{""Ag%"": 0.0, ""Au%"": 0.17, ""Co%"": 0.11, ""Cu%"": 0.0, ""Ni%"": 0.33, ""Pd%"": 0.24, ""Pt%"": 0.0, ""Sn%"": 0.15}",-5,DataPoint
8077739029709918585,"{""Ag%"": 0.33, ""Au%"": 0.33, ""Co%"": 0.0, ""Cu%"": 0.0, ""Ni%"": 0.0, ""Pd%"": 0.33, ""Pt%"": 0.0, ""Sn%"": 0.0}",-1,DataPoint
8244595296926638230,"{""Ag%"": 0.0, ""Au%"": 0.2, ""Co%"": 0.12, ""Cu%"": 0.0, ""Ni%"": 0.32, ""Pd%"": 0.2, ""Pt%"": 0.0, ""Sn%"": 0.16}",-5,DataPoint
8288837357799345087,"{""Ag%"": 0.12, ""Au%"": 0.17, ""Co%"": 0.0, ""Cu%"": 0.22, ""Ni%"": 0.14, ""Pd%"": 0.19, ""Pt%"": 0.0, ""Sn%"": 0.16}",-4,DataPoint
8651977188853429774,"{""Ag%"": 0.0, ""Au%"": 0.24, ""Co%"": 0.58, ""Cu%"": 0.0, ""Ni%"": 0.0, ""Pd%"": 0.09, ""Pt%"": 0.0, ""Sn%"": 0.09}",-2,DataPoint
-9208385875120264535,"{""MagpieData mean Row"": 4.68, ""MagpieData mode Row"": 5.0, ""MagpieData range Row"": 1.0, ""MagpieData avg_dev Row"": 0.43520000000000014, ""MagpieData maximum Row"": 5.0, ""MagpieData mean Column"": 11.24, ""MagpieData mean Number"": 41.480000000000004, ""MagpieData minimum Row"": 4.0, ""MagpieData mode Column"": 10.0, ""MagpieData mode Number"": 46.0, ""MagpieData range Column"": 4.0, ""MagpieData range Number"": 22.0, ""MagpieData mean GSmagmom"": 0.19052630400000004, ""MagpieData mean MeltingT"": 1385.9133000000002, ""MagpieData mean NValence"": 11.24, ""MagpieData mode GSmagmom"": 0.0, ""MagpieData mode MeltingT"": 1828.05, ""MagpieData mode NValence"": 10.0, ""MagpieData avg_dev Column"": 1.7112, ""MagpieData avg_dev Number"": 8.627199999999998, ""MagpieData maximum Column"": 14.0, ""MagpieData maximum Number"": 50.0, ""MagpieData mean GSbandgap"": 0.0, ""MagpieData mean NUnfilled"": 1.88, ""MagpieData mean NdValence"": 9.36, ""MagpieData mean NfValence"": 0.0, ""MagpieData mean NpValence"": 0.62, ""MagpieData mean NsValence"": 1.26, ""MagpieData minimum Column"": 10.0, ""MagpieData minimum Number"": 28.0, ""MagpieData mode GSbandgap"": 0.0, ""MagpieData mode NUnfilled"": 0.0, ""MagpieData mode NdValence"": 10.0, ""MagpieData mode NfValence"": 0.0, ""MagpieData mode NpValence"": 0.0, ""MagpieData mode NsValence"": 0.0, ""MagpieData range GSmagmom"": 0.5953947, ""MagpieData range MeltingT"": 1322.97, ""MagpieData range NValence"": 4.0, ""MagpieData mean NdUnfilled"": 0.64, ""MagpieData mean NfUnfilled"": 0.0, ""MagpieData mean NpUnfilled"": 1.24, ""MagpieData mean NsUnfilled"": 0.0, ""MagpieData mode NdUnfilled"": 0.0, ""MagpieData mode NfUnfilled"": 0.0, ""MagpieData mode NpUnfilled"": 0.0, ""MagpieData mode NsUnfilled"": 0.0, ""MagpieData range GSbandgap"": 0.0, ""MagpieData range NUnfilled"": 4.0, ""MagpieData range NdValence"": 2.0, ""MagpieData range NfValence"": 0.0, ""MagpieData range NpValence"": 2.0, ""MagpieData range NsValence"": 2.0, ""MagpieData avg_dev GSmagmom"": 0.25911577344000003, ""MagpieData avg_dev MeltingT"": 546.116646, ""MagpieData avg_dev NValence"": 1.7112, ""MagpieData maximum GSmagmom"": 0.5953947, ""MagpieData maximum MeltingT"": 1828.05, ""MagpieData maximum NValence"": 14.0, ""MagpieData mean GSvolume_pa"": 18.95245, ""MagpieData minimum GSmagmom"": 0.0, ""MagpieData minimum MeltingT"": 505.08, ""MagpieData minimum NValence"": 10.0, ""MagpieData mode GSvolume_pa"": 14.41, ""MagpieData range NdUnfilled"": 2.0, ""MagpieData range NfUnfilled"": 0.0, ""MagpieData range NpUnfilled"": 4.0, ""MagpieData range NsUnfilled"": 0.0, ""MagpieData avg_dev GSbandgap"": 0.0, ""MagpieData avg_dev NUnfilled"": 1.3912, ""MagpieData avg_dev NdValence"": 0.8704000000000003, ""MagpieData avg_dev NfValence"": 0.0, ""MagpieData avg_dev NpValence"": 0.8555999999999999, ""MagpieData avg_dev NsValence"": 0.9324000000000001, ""MagpieData maximum GSbandgap"": 0.0, ""MagpieData maximum NUnfilled"": 4.0, ""MagpieData maximum NdValence"": 10.0, ""MagpieData maximum NfValence"": 0.0, ""MagpieData maximum NpValence"": 2.0, ""MagpieData maximum NsValence"": 2.0, ""MagpieData mean AtomicWeight"": 94.957388, ""MagpieData minimum GSbandgap"": 0.0, ""MagpieData minimum NUnfilled"": 0.0, ""MagpieData minimum NdValence"": 8.0, ""MagpieData minimum NfValence"": 0.0, ""MagpieData minimum NpValence"": 0.0, ""MagpieData minimum NsValence"": 0.0, ""MagpieData mode AtomicWeight"": 106.42, ""MagpieData range GSvolume_pa"": 22.964999999999996, ""MagpieData avg_dev NdUnfilled"": 0.8704, ""MagpieData avg_dev NfUnfilled"": 0.0, ""MagpieData avg_dev NpUnfilled"": 1.7111999999999998, ""MagpieData avg_dev NsUnfilled"": 0.0, ""MagpieData maximum NdUnfilled"": 2.0, ""MagpieData maximum NfUnfilled"": 0.0, ""MagpieData maximum NpUnfilled"": 4.0, ""MagpieData maximum NsUnfilled"": 0.0, ""MagpieData minimum NdUnfilled"": 0.0, ""MagpieData minimum NfUnfilled"": 0.0, ""MagpieData minimum NpUnfilled"": 0.0, ""MagpieData minimum NsUnfilled"": 0.0, ""MagpieData range AtomicWeight"": 60.0166, ""MagpieData avg_dev GSvolume_pa"": 8.886180999999997, ""MagpieData maximum GSvolume_pa"": 33.285, ""MagpieData mean CovalentRadius"": 134.2, ""MagpieData minimum GSvolume_pa"": 10.32, ""MagpieData mode CovalentRadius"": 139.0, ""MagpieData avg_dev AtomicWeight"": 23.20895232, ""MagpieData maximum AtomicWeight"": 118.71, ""MagpieData mean MendeleevNumber"": 67.26, ""MagpieData minimum AtomicWeight"": 58.6934, ""MagpieData mode MendeleevNumber"": 62.0, ""MagpieData range CovalentRadius"": 15.0, ""MagpieData mean SpaceGroupNumber"": 198.96, ""MagpieData mode SpaceGroupNumber"": 225.0, ""MagpieData range MendeleevNumber"": 19.0, ""MagpieData avg_dev CovalentRadius"": 6.528000000000004, ""MagpieData maximum CovalentRadius"": 139.0, ""MagpieData mean Electronegativity"": 2.0328, ""MagpieData minimum CovalentRadius"": 124.0, ""MagpieData mode Electronegativity"": 2.2, ""MagpieData range SpaceGroupNumber"": 84.0, ""MagpieData avg_dev MendeleevNumber"": 7.898800000000002, ""MagpieData maximum MendeleevNumber"": 80.0, ""MagpieData minimum MendeleevNumber"": 61.0, ""MagpieData range Electronegativity"": 0.29000000000000026, ""MagpieData avg_dev SpaceGroupNumber"": 35.935199999999995, ""MagpieData maximum SpaceGroupNumber"": 225.0, ""MagpieData minimum SpaceGroupNumber"": 141.0, ""MagpieData avg_dev Electronegativity"": 0.12372800000000007, ""MagpieData maximum Electronegativity"": 2.2, ""MagpieData minimum Electronegativity"": 1.91}",0,DataPoint
-9206791844453479774,"{""MagpieData mean Row"": 4.659999999999999, ""MagpieData mode Row"": 4.0, ""MagpieData range Row"": 2.0, ""MagpieData avg_dev Row"": 0.594, ""MagpieData maximum Row"": 6.0, ""MagpieData mean Column"": 10.549999999999999, ""MagpieData mean Number"": 41.96999999999999, ""MagpieData minimum Row"": 4.0, ""MagpieData mode Column"": 9.0, ""MagpieData mode Number"": 27.0, ""MagpieData range Column"": 5.0, ""MagpieData range Number"": 52.0, ""MagpieData mean GSmagmom"": 0.43357193599999994, ""MagpieData mean MeltingT"": 1456.0441999999998, ""MagpieData mean NValence"": 12.089999999999998, ""MagpieData mode GSmagmom"": 1.5484712, ""MagpieData mode MeltingT"": 1768.0, ""MagpieData mode NValence"": 9.0, ""MagpieData avg_dev Column"": 1.077, ""MagpieData avg_dev Number"": 12.793, ""MagpieData maximum Column"": 14.0, ""MagpieData maximum Number"": 79.0, ""MagpieData mean GSbandgap"": 0.0, ""MagpieData mean NUnfilled"": 1.6699999999999995, ""MagpieData mean NdValence"": 9.159999999999998, ""MagpieData mean NfValence"": 1.5399999999999996, ""MagpieData mean NpValence"": 0.19999999999999996, ""MagpieData mean NsValence"": 1.19, ""MagpieData minimum Column"": 9.0, ""MagpieData minimum Number"": 27.0, ""MagpieData mode GSbandgap"": 0.0, ""MagpieData mode NUnfilled"": 3.0, ""MagpieData mode NdValence"": 7.0, ""MagpieData mode NfValence"": 0.0, ""MagpieData mode NpValence"": 0.0, ""MagpieData mode NsValence"": 2.0, ""MagpieData range GSmagmom"": 1.5484712, ""MagpieData range MeltingT"": 1322.97, ""MagpieData range NValence"": 16.0, ""MagpieData mean NdUnfilled"": 0.8399999999999999, ""MagpieData mean NfUnfilled"": 0.0, ""MagpieData mean NpUnfilled"": 0.3999999999999999, ""MagpieData mean NsUnfilled"": 0.42999999999999994, ""MagpieData mode NdUnfilled"": 3.0, ""MagpieData mode NfUnfilled"": 0.0, ""MagpieData mode NpUnfilled"": 0.0, ""MagpieData mode NsUnfilled"": 0.0, ""MagpieData range GSbandgap"": 0.0, ""MagpieData range NUnfilled"": 4.0, ""MagpieData range NdValence"": 3.0, ""MagpieData range NfValence"": 14.0, ""MagpieData range NpValence"": 2.0, ""MagpieData range NsValence"": 2.0, ""MagpieData avg_dev GSmagmom"": 0.62434358784, ""MagpieData avg_dev MeltingT"": 316.05745199999996, ""MagpieData avg_dev NValence"": 3.222199999999998, ""MagpieData maximum GSmagmom"": 1.5484712, ""MagpieData maximum MeltingT"": 1828.05, ""MagpieData maximum NValence"": 25.0, ""MagpieData mean GSvolume_pa"": 15.103399999999995, ""MagpieData minimum GSmagmom"": 0.0, ""MagpieData minimum MeltingT"": 505.08, ""MagpieData minimum NValence"": 9.0, ""MagpieData mode GSvolume_pa"": 10.245, ""MagpieData range NdUnfilled"": 3.0, ""MagpieData range NfUnfilled"": 0.0, ""MagpieData range NpUnfilled"": 4.0, ""MagpieData range NsUnfilled"": 1.0, ""MagpieData avg_dev GSbandgap"": 0.0, ""MagpieData avg_dev NUnfilled"": 1.2107999999999997, ""MagpieData avg_dev NdValence"": 1.2096000000000005, ""MagpieData avg_dev NfValence"": 2.741199999999999, ""MagpieData avg_dev NpValence"": 0.35999999999999993, ""MagpieData avg_dev NsValence"": 0.6155999999999998, ""MagpieData maximum GSbandgap"": 0.0, ""MagpieData maximum NUnfilled"": 4.0, ""MagpieData maximum NdValence"": 10.0, ""MagpieData maximum NfValence"": 14.0, ""MagpieData maximum NpValence"": 2.0, ""MagpieData maximum NsValence"": 2.0, ""MagpieData mean AtomicWeight"": 97.24146718999997, ""MagpieData minimum GSbandgap"": 0.0, ""MagpieData minimum NUnfilled"": 0.0, ""MagpieData minimum NdValence"": 7.0, ""MagpieData minimum NfValence"": 0.0, ""MagpieData minimum NpValence"": 0.0, ""MagpieData minimum NsValence"": 0.0, ""MagpieData mode AtomicWeight"": 58.933195, ""MagpieData range GSvolume_pa"": 23.04, ""MagpieData avg_dev NdUnfilled"": 1.2095999999999998, ""MagpieData avg_dev NfUnfilled"": 0.0, ""MagpieData avg_dev NpUnfilled"": 0.7199999999999999, ""MagpieData avg_dev NsUnfilled"": 0.49019999999999986, ""MagpieData maximum NdUnfilled"": 3.0, ""MagpieData maximum NfUnfilled"": 0.0, ""MagpieData maximum NpUnfilled"": 4.0, ""MagpieData maximum NsUnfilled"": 1.0, ""MagpieData minimum NdUnfilled"": 0.0, ""MagpieData minimum NfUnfilled"": 0.0, ""MagpieData minimum NpUnfilled"": 0.0, ""MagpieData minimum NsUnfilled"": 0.0, ""MagpieData range AtomicWeight"": 138.03337399999998, ""MagpieData avg_dev GSvolume_pa"": 4.355551999999998, ""MagpieData maximum GSvolume_pa"": 33.285, ""MagpieData mean CovalentRadius"": 134.73999999999998, ""MagpieData minimum GSvolume_pa"": 10.245, ""MagpieData mode CovalentRadius"": 126.0, ""MagpieData avg_dev AtomicWeight"": 32.909091270999994, ""MagpieData maximum AtomicWeight"": 196.966569, ""MagpieData mean MendeleevNumber"": 63.90999999999999, ""MagpieData minimum AtomicWeight"": 58.933195, ""MagpieData mode MendeleevNumber"": 58.0, ""MagpieData range CovalentRadius"": 19.0, ""MagpieData mean SpaceGroupNumber"": 207.91999999999993, ""MagpieData mode SpaceGroupNumber"": 194.0, ""MagpieData range MendeleevNumber"": 22.0, ""MagpieData avg_dev CovalentRadius"": 5.826000000000001, ""MagpieData maximum CovalentRadius"": 145.0, ""MagpieData mean Electronegativity"": 2.0322999999999998, ""MagpieData minimum CovalentRadius"": 126.0, ""MagpieData mode Electronegativity"": 1.88, ""MagpieData range SpaceGroupNumber"": 84.0, ""MagpieData avg_dev MendeleevNumber"": 4.0354, ""MagpieData maximum MendeleevNumber"": 80.0, ""MagpieData minimum MendeleevNumber"": 58.0, ""MagpieData range Electronegativity"": 0.6600000000000001, ""MagpieData avg_dev SpaceGroupNumber"": 21.179200000000012, ""MagpieData maximum SpaceGroupNumber"": 225.0, ""MagpieData minimum SpaceGroupNumber"": 141.0, ""MagpieData avg_dev Electronegativity"": 0.17542000000000002, ""MagpieData maximum Electronegativity"": 2.54, ""MagpieData minimum Electronegativity"": 1.88}",-4,DataPoint
